Date,Price,Volume,Open,High,Low
08/17/2023,23.042,11441.0,22.8,23.385,22.725
08/16/2023,22.856,10802.0,22.905,23.17,22.77
08/15/2023,22.656,60396.0,22.65,22.77,22.265
08/14/2023,22.708,51908.0,22.74,22.82,22.41
08/11/2023,22.743,48043.0,22.76,22.91,22.61
08/10/2023,22.821,71226.0,22.73,23.06,22.665
08/09/2023,22.731,60561.0,22.82,22.99,22.68
08/08/2023,22.807,73338.0,23.2,23.255,22.72
08/07/2023,23.232,55345.0,23.72,23.775,23.145
08/04/2023,23.716,56747.0,23.71,23.895,23.275
08/03/2023,23.697,58992.0,23.835,23.94,23.41
08/02/2023,23.872,71917.0,24.48,24.63,23.76
08/01/2023,24.326,51464.0,24.9,24.905,24.255
07/31/2023,24.972,44254.0,24.475,24.985,24.32
07/28/2023,24.495,38405.0,24.265,24.545,24.24
07/27/2023,24.367,81985.0,25.075,25.325,24.18
07/26/2023,24.97,56413.0,24.87,25.21,24.675
07/25/2023,24.824,48131.0,24.525,24.91,24.45
07/24/2023,24.581,53203.0,24.79,24.89,24.425
07/21/2023,24.855,36128.0,24.95,25.11,24.765
07/20/2023,24.962,53695.0,25.345,25.475,24.895
07/19/2023,25.387,40806.0,25.275,25.46,25.145
07/18/2023,25.256,59656.0,25.06,25.405,24.975
07/17/2023,25.018,43197.0,25.155,25.155,24.815
07/14/2023,25.194,69262.0,25.105,25.255,24.91
07/13/2023,24.949,85219.0,24.33,25.11,24.31
07/12/2023,24.31,78832.0,23.325,24.375,23.31
07/11/2023,23.281,34111.0,23.335,23.595,23.22
07/10/2023,23.345,37091.0,23.34,23.37,22.94
07/07/2023,23.289,47682.0,22.905,23.365,22.8
07/06/2023,22.89,59995.0,23.355,23.47,22.72
07/05/2023,23.402,80611.0,23.12,23.535,22.97
07/03/2023,23.112,44809.0,22.995,23.29,22.91
06/30/2023,23.02,43745.0,22.77,23.05,22.54
06/29/2023,22.798,54795.0,22.94,23.11,22.485
06/28/2023,23.084,35795.0,23.11,23.18,22.79
06/27/2023,23.148,36867.0,23.025,23.335,22.98
